label	text
ham	Please send me the notes from lecture. ok
ham	Dinner at my place tonight? ok
spam	URGENT! You have won a $100 cash prize. Reply WIN now.
spam	Final notice: send STOP to cancel or WIN to accept. Txt now
ham	The package arrived this afternoon. please
ham	I am running a few minutes late. ok
spam	Claim your reward today. Call 09061701461 before midnight. Limited seats
ham	I am running a few minutes late. please
ham	Did you finish the homework yet? ok
spam	Free entry to our weekly draw. Text YES to 82277 now.
ham	Did you finish the homework yet?
ham	I am outside your apartment now. please
ham	I am studying in the student center. please
ham	Let me know when the bus arrives. thanks
ham	The package arrived this afternoon.
ham	See you in the library after lunch. please
ham	Can you pick up milk on your way back?
ham	No rush, we can talk tomorrow. :)
ham	See you in the library after lunch. please
spam	URGENT! You have won a $500 cash prize. Reply WIN now. Txt now
ham	Please send me the notes from lecture.
ham	Can you pick up milk on your way back? thanks
spam	Act now! Your account qualifies for a special reward.
ham	Please email me the final version.
ham	No rush, we can talk tomorrow. please
ham	I am studying in the student center. :)
ham	Did you finish the homework yet? :)
ham	I will text you after work. please
ham	Please send me the notes from lecture. thanks
ham	Please email me the final version. ok
ham	Can you pick up milk on your way back? ok
ham	Please send me the notes from lecture. :)
ham	See you in the library after lunch.
ham	Please send me the notes from lecture. please
ham	No rush, we can talk tomorrow. :)
spam	Final notice: send STOP to cancel or WIN to accept. Terms apply
ham	Happy birthday! Hope you have a great day.
ham	Can you pick up milk on your way back? ok
ham	Can you pick up milk on your way back?
ham	I am studying in the student center. thanks
ham	Did you finish the homework yet?
ham	Did you finish the homework yet? :)
ham	I am running a few minutes late. ok
spam	Act now! Your account qualifies for a special reward.
spam	Final notice: send STOP to cancel or WIN to accept.
ham	Let me know when the bus arrives. ok
ham	Are we still meeting at 5 pm? thanks
ham	Please send me the notes from lecture.
spam	Congratulations! Your mobile has been selected for a free gift. Limited seats
ham	I will text you after work. thanks
ham	Did you finish the homework yet?
ham	Happy birthday! Hope you have a great day. please
ham	The package arrived this afternoon. ok
ham	Are we still meeting at tomorrow morning?
ham	The package arrived this afternoon. :)
ham	See you in the library after lunch. please
spam	Claim your reward today. Call 08001234567 before midnight. Terms apply
spam	URGENT! You have won a $900 cash prize. Reply WIN now. Limited seats
ham	Please send me the notes from lecture. please
ham	Thanks for helping with class today. thanks
ham	I am studying in the student center. ok
ham	I left my charger in your car. please
ham	Thanks for helping with class today. :)
ham	Dinner at my place tonight? thanks
spam	Congratulations! Your mobile has been selected for a free gift. 18+ only
ham	Thanks for helping with class today. please
ham	Please send me the notes from lecture. please
ham	Dinner at my place tonight? ok
ham	Please email me the final version.
ham	Can you remind me about the meeting tomorrow? ok
spam	Exclusive deal for you. Confirm now to receive your prize.
ham	I am studying in the student center.
spam	Act now! Your account qualifies for a special reward. Txt now
spam	Free entry to our weekly draw. Text YES to 82277 now. Limited seats
ham	Please email me the final version. please
ham	Dinner at my place tonight? :)
ham	Thanks for helping with class today. thanks
ham	Can you pick up milk on your way back? :)
ham	Can you remind me about the meeting tomorrow? :)
spam	Limited offer: get a free ringtone pack by texting GO. Txt now
spam	Winner! Collect your vacation offer now. Reply CLAIM. Limited seats
ham	Thanks for helping with class today. ok
spam	Congratulations! Your mobile has been selected for a free gift. 18+ only
ham	Did you finish the homework yet? ok
ham	Thanks for helping with class today. please
spam	Act now! Your account qualifies for a special reward. Terms apply
ham	I am studying in the student center.
ham	Happy birthday! Hope you have a great day. please
ham	I left my charger in your car. please
spam	Congratulations! Your mobile has been selected for a free gift. Limited seats
ham	I am outside your apartment now. ok
ham	See you in the library after lunch. thanks
ham	Did you finish the homework yet? :)
ham	Can you pick up milk on your way back? please
spam	Claim your reward today. Call 08712402050 before midnight. Terms apply
ham	I am outside your apartment now. :)
ham	Happy birthday! Hope you have a great day. please
ham	No rush, we can talk tomorrow. please
ham	Let me know when the bus arrives.
ham	Did you finish the homework yet? thanks
ham	See you in the library after lunch. please
ham	Can you pick up milk on your way back? please
ham	I just got home. Call me when you can.
ham	I am studying in the student center. thanks
ham	Can you pick up milk on your way back?
ham	I am studying in the student center.
spam	URGENT! You have won a $500 cash prize. Reply WIN now. Limited seats
ham	I just got home. Call me when you can. ok
ham	Dinner at my place tonight? please
ham	I just got home. Call me when you can.
spam	Free entry to our weekly draw. Text YES to 88600 now.
spam	Claim your reward today. Call 08001234567 before midnight. Txt now
spam	Congratulations! Your mobile has been selected for a free gift. Limited seats
ham	I will text you after work. please
spam	Limited offer: get a free ringtone pack by texting GO. Limited seats
ham	The package arrived this afternoon. thanks
spam	Free entry to our weekly draw. Text YES to 87066 now. Limited seats
ham	I just got home. Call me when you can. ok
spam	Act now! Your account qualifies for a special reward. Txt now
spam	Congratulations! Your mobile has been selected for a free gift. Terms apply
